term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
variable,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Tcl command with two related uses. (1) Inside a `namespace eval` block, declares a namespace-scoped variable: `namespace eval ::myns { variable count 0 }`. The variable is accessible via fully-qualified name (`$::myns::count`) or via `variable count` in procs of that namespace. (2) Inside a TclOO class body, declares an instance variable accessible in methods without explicit `my variable`: `oo::class create Counter { variable count; constructor {} { set count 0 } }`. In both cases, `variable` is a declaration that links a name to the appropriate scope; it does NOT assign a value unless given as second argument.","Tcl-Befehl mit zwei verwandten Verwendungen. (1) In einem `namespace eval`-Block deklariert er eine namespace-bezogene Variable: `namespace eval ::myns { variable count 0 }`. Die Variable ist via voll-qualifizierten Namen (`$::myns::count`) oder via `variable count` in Procs dieses Namespaces zugaenglich. (2) In einem TclOO-Klassen-Body deklariert er eine Instanzvariable, die in Methoden ohne explizites `my variable` zugaenglich ist: `oo::class create Counter { variable count; constructor {} { set count 0 } }`. In beiden Faellen ist `variable` eine Deklaration, die einen Namen mit dem passenden Scope verknuepft; er weist KEINEN Wert zu, ausser einer wird als zweites Argument uebergeben.",,,,
! (Logical NOT),Operatoren / Operators,"Logical NOT operator; negates boolean value (e.g., `!$flag`).",Logischer NICHT-Operator; negiert booleschen Wert (z.B. `!$flag`).,,,,
& (Bitwise AND),Operatoren / Operators,"Bitwise AND operator; performs AND operation on each bit pair (e.g., `0b1100 & 0b1010` = `0b1000`).",Bitweises UND; führt UND-Operation auf jedem Bitpaar aus (z.B. `0b1100 & 0b1010` = `0b1000`).,,,,
&& (Logical AND),Operatoren / Operators,"Logical AND operator; returns true only if both operands are true (e.g., `$x > 0 && $y < 10`).","Logischer UND-Operator; gibt nur wahr zurück, wenn beide Operanden wahr sind (z.B. `$x > 0 && $y < 10`).",,,,
<< (Left Shift),Operatoren / Operators,"Bitwise left shift operator; shifts bits left, filling with zeros (e.g., `5 << 2` = 20).","Bitweises Links-Verschieben; verschiebt Bits nach links, füllt mit Nullen (z.B. `5 << 2` = 20).",,,,
>> (Right Shift),Operatoren / Operators,"Bitwise right shift operator; shifts bits right (e.g., `20 >> 2` = 5).",Bitweises Rechts-Verschieben; verschiebt Bits nach rechts (z.B. `20 >> 2` = 5).,,,,
^ (Bitwise XOR),Operatoren / Operators,"Bitwise exclusive OR operator; returns 1 when bits differ (e.g., `0b1100 ^ 0b1010` = `0b0110`).","Bitweises exklusives ODER; gibt 1 zurück, wenn Bits unterschiedlich sind (z.B. `0b1100 ^ 0b1010` = `0b0110`).",,,,
| (Bitwise OR),Operatoren / Operators,"Bitwise OR operator; performs OR operation on each bit pair (e.g., `0b1100 | 0b1010` = `0b1110`).",Bitweises ODER; führt ODER-Operation auf jedem Bitpaar aus (z.B. `0b1100 | 0b1010` = `0b1110`).,,,,
|| (Logical OR),Operatoren / Operators,"Logical OR operator; returns true if at least one operand is true (e.g., `$x < 0 || $x > 100`).","Logischer ODER-Operator; gibt wahr zurück, wenn mindestens ein Operand wahr ist (z.B. `$x < 0 || $x > 100`).",,,,
~ (Bitwise NOT),Operatoren / Operators,Bitwise NOT operator; inverts all bits (one's complement).,Bitweises NICHT; invertiert alle Bits (Einerkomplement).,,,,
Priority,Option Database / Ressourcen-Datenbank,"Option database entry precedence level (widgetDefault, startupFile, userDefault, interactive).","Prioritätsstufe des Options-Datenbank-Eintrags (widgetDefault, startupFile, userDefault, interactive).",,,,
Resource Pattern,Option Database / Ressourcen-Datenbank,"Hierarchical pattern for option matching (* for wildcard, . for hierarchy).","Hierarchisches Muster für Options-Abgleich (* für Wildcard, . für Hierarchie).",,,,
Widget Class,Option Database / Ressourcen-Datenbank,"General widget type used in option database (Button, Entry, Text, etc.).","Allgemeiner Widget-Typ, verwendet in Options-Datenbank (Button, Entry, Text, etc.).",,,,
option add,Option Database / Ressourcen-Datenbank,"Add option pattern to resource database (e.g., `option add *Button.background blue`).",Options-Muster zur Ressourcen-Datenbank hinzufügen (z.B. `option add *Button.background blue`).,,,,
option clear,Option Database / Ressourcen-Datenbank,Clear all entries from option database.,Alle Einträge aus Options-Datenbank löschen.,,,,
option get,Option Database / Ressourcen-Datenbank,"Query option value from database for widget (e.g., `option get .button background Button`).",Optionswert aus Datenbank für Widget abfragen (z.B. `option get .button background Button`).,,,,
option readfile,Option Database / Ressourcen-Datenbank,Load options from X11-style resource file.,Optionen aus X11-Stil-Ressourcen-Datei laden.,,,,
Menu Name,OptionMenu-Begriffe / OptionMenu Terms,Pathname of menu widget created by tk_optionMenu for further customization.,Pfadname des von tk_optionMenu erstellten Menü-Widgets für weitere Anpassungen.,,,,
OptionMenu (tk_optionMenu),OptionMenu-Begriffe / OptionMenu Terms,Widget displaying a menubutton with dropdown list of mutually exclusive choices.,"Widget, das einen Menubutton mit Dropdown-Liste sich gegenseitig ausschließender Auswahlmöglichkeiten anzeigt.",,,,
Values,OptionMenu-Begriffe / OptionMenu Terms,List of choices available in OptionMenu dropdown.,Liste der verfügbaren Auswahlmöglichkeiten in OptionMenu-Dropdown.,,,,
14 Standard-PDF-Fonts,PDF in Tcl / PDF in Tcl,"The 14 Type 1 fonts guaranteed by the PDF standard to be available in every viewer without embedding: Helvetica (4 variants: regular, Bold, Oblique, BoldOblique), Times (4 variants: Roman, Bold, Italic, BoldItalic), Courier (4 variants: regular, Bold, Oblique, BoldOblique), Symbol (Greek + math), ZapfDingbats (decorative). Naming gotcha: Helvetica/Courier use `-Oblique`, Times uses `-Italic`.","Die 14 Type-1-Fonts, die der PDF-Standard garantiert in jedem Viewer ohne Einbettung verfuegbar haelt: Helvetica (4 Varianten: regular, Bold, Oblique, BoldOblique), Times (4 Varianten: Roman, Bold, Italic, BoldItalic), Courier (4 Varianten: regular, Bold, Oblique, BoldOblique), Symbol (Griechisch + Mathematik), ZapfDingbats (Schmuckzeichen). Namens-Falle: Helvetica/Courier verwenden `-Oblique`, Times verwendet `-Italic`.",,,,
AcroForm,PDF in Tcl / PDF in Tcl,"Acrobat-Form — Adobe's standard for interactive form fields in PDF documents. Defines field types (text, checkbox, choice, radio, button, signature), positions, default values, and validation. Filled via PDF viewer or programmatically (e.g. with `pdf4tcl`'s `addForm`). The successor standard, XFA, is being deprecated by Adobe in favour of AcroForm.","Acrobat-Form — Adobes Standard fuer interaktive Formularfelder in PDF-Dokumenten. Definiert Feldtypen (Text, Checkbox, Auswahl, Radio, Button, Signatur), Positionen, Default-Werte und Validierung. Wird per PDF-Viewer oder programmatisch (z.B. mit `pdf4tcl`s `addForm`) befuellt. Der Nachfolge-Standard XFA wird von Adobe zugunsten von AcroForm wieder aufgegeben.",,,,
Ascender,PDF in Tcl / PDF in Tcl,"In typography, the part of a lowercase letter that extends above the x-height — for example, the upper stems in ""b"", ""d"", ""h"", ""k"". Relevant in PDF text positioning: with a font size of N points, ascenders reach about 0.75 * N above the baseline. In `pdf4tcl`, the y-coordinate of a `$pdf text` call is the baseline, so the visual top of the text sits roughly `0.75 * fontSize` above that y.","In der Typografie der Teil eines Kleinbuchstabens, der ueber die x-Hoehe hinausragt — z.B. die Aufstriche in ""b"", ""d"", ""h"", ""k"". Relevant fuer PDF-Textpositionierung: bei Schriftgroesse N Points reichen Ascender etwa 0.75 * N ueber die Baseline. In `pdf4tcl` bezeichnet die y-Koordinate eines `$pdf text`-Aufrufs die Baseline; die visuelle Oberkante des Texts liegt also etwa `0.75 * fontSize` darueber.",,,,
CID-Font,PDF in Tcl / PDF in Tcl,"Character Identifier Font — PDF font technology for languages with very large character sets (CJK — Chinese, Japanese, Korean). Maps character IDs to glyphs via a CMap (character map). Required when PDF text contains characters beyond the WinAnsi encoding of the standard fonts. `pdf4tcl` supports CID fonts via its CIDFont extension; setup involves loading a CMap file and registering the font.","Character Identifier Font — PDF-Font-Technologie fuer Sprachen mit sehr grossen Zeichensaetzen (CJK — Chinesisch, Japanisch, Koreanisch). Bildet Character-IDs ueber eine CMap (Character Map) auf Glyphen ab. Erforderlich wenn PDF-Text Zeichen jenseits der WinAnsi-Kodierung der Standard-Fonts enthaelt. `pdf4tcl` unterstuetzt CID-Fonts ueber seine CIDFont-Erweiterung; Setup beinhaltet das Laden einer CMap-Datei und Registrierung des Fonts.",,,,
Descender,PDF in Tcl / PDF in Tcl,"In typography, the part of a lowercase letter that extends below the baseline — for example, the lower stems in ""g"", ""j"", ""p"", ""q"", ""y"". With a font size of N points, descenders reach about 0.25 * N below the baseline. In PDF text-box layouts, descenders must be accounted for to prevent text running into the next row.","In der Typografie der Teil eines Kleinbuchstabens, der unter die Baseline reicht — z.B. die Abstriche in ""g"", ""j"", ""p"", ""q"", ""y"". Bei Schriftgroesse N Points reichen Descender etwa 0.25 * N unter die Baseline. In PDF-Textbox-Layouts muessen Descender beruecksichtigt werden, damit Text nicht in die naechste Zeile rutscht.",,,,
PDF-Encryption,PDF in Tcl / PDF in Tcl,"PDF document encryption via owner-password (full edit rights) and user-password (open + restricted rights, e.g. no copy/print). Variants by algorithm: 40-bit RC4 (PDF 1.3, weak), 128-bit RC4 (PDF 1.4), 128-bit AES (PDF 1.6), 256-bit AES (PDF 1.7+). Lower-strength variants are trivially breakable today; only AES-256 offers serious protection. `pdf4tcl` supports up to 128-bit AES.","PDF-Dokument-Verschluesselung mit Eigentuemer-Passwort (volle Bearbeitungsrechte) und Benutzer-Passwort (oeffnen + eingeschraenkte Rechte, z.B. kein Kopieren/Drucken). Varianten nach Algorithmus: 40-bit RC4 (PDF 1.3, schwach), 128-bit RC4 (PDF 1.4), 128-bit AES (PDF 1.6), 256-bit AES (PDF 1.7+). Schwaechere Varianten sind heute trivial zu brechen; nur AES-256 bietet echten Schutz. `pdf4tcl` unterstuetzt bis 128-bit AES.",,,,
PDF/A,PDF in Tcl / PDF in Tcl,"PDF/Archive — ISO 19005 standard for long-term archival of PDF documents. Restricts the full PDF feature set: requires embedded fonts, prohibits encryption and JavaScript, mandates colour-space declarations. Variants: PDF/A-1 (oldest, strictest), PDF/A-2 (allows JPEG 2000), PDF/A-3 (allows embedded files). Converting an arbitrary PDF to PDF/A typically uses Ghostscript or veraPDF.","PDF/Archive — ISO-19005-Standard fuer Langzeit-Archivierung von PDF-Dokumenten. Schraenkt den vollen PDF-Funktionsumfang ein: erfordert eingebettete Fonts, verbietet Verschluesselung und JavaScript, schreibt Farbraum-Deklarationen vor. Varianten: PDF/A-1 (am aeltesten, am striktesten), PDF/A-2 (erlaubt JPEG 2000), PDF/A-3 (erlaubt eingebettete Dateien). Konvertierung beliebiger PDFs zu PDF/A typischerweise mit Ghostscript oder veraPDF.",,,,
Page Context Pattern,PDF in Tcl / PDF in Tcl,"Design pattern in `pdf4tcllib` for centralizing all page-layout values in one dictionary: page width and height, margins, safe area, orientation. Created via `pdf4tcllib::page::context a4 -margin 20 -orient true`. Keys come in two flavours: descriptive (`page_w`, `top`, `left`) and short (`PW`, `SY`, `SX`). Replaces scattered magic numbers in source code with a single configuration point.","Design-Pattern in `pdf4tcllib` zur Zentralisierung aller Seitenlayout-Werte in einem Dictionary: Seitenbreite und -hoehe, Raender, sichere Flaeche, Orientierung. Erzeugt ueber `pdf4tcllib::page::context a4 -margin 20 -orient true`. Schluessel kommen in zwei Varianten: ausfuehrlich (`page_w`, `top`, `left`) und kurz (`PW`, `SY`, `SX`). Ersetzt verstreute Magic-Numbers im Quellcode durch einen einzigen Konfigurationspunkt.",,,,
Point (pt),PDF in Tcl / PDF in Tcl,"PDF's fundamental unit of length: 1 pt = 1/72 inch ≈ 0.3528 mm. All `pdf4tcl` coordinates and sizes are in points. Standard conversions: A4 = 595.28 * 841.89 pt; 1 cm = 28.346 pt; 1 mm = 2.8346 pt. Helper procs (`mm_to_pt`, `cm_to_pt`) are a common pattern to keep source code in millimetres while the output is in points.","PDFs grundlegende Laengeneinheit: 1 pt = 1/72 Inch ≈ 0.3528 mm. Alle `pdf4tcl`-Koordinaten und -Groessen sind in Points. Standard-Umrechnungen: A4 = 595.28 * 841.89 pt; 1 cm = 28.346 pt; 1 mm = 2.8346 pt. Helper-Prozeduren (`mm_to_pt`, `cm_to_pt`) sind ein uebliches Muster, um Quellcode in Millimetern zu halten waehrend die Ausgabe in Points ist.",,,,
Tk Photo Image,PDF in Tcl / PDF in Tcl,"Tk's in-memory image data type, created with `image create photo`. The native image format consumed by `pdf4tcl`'s `$pdf image` command. Supports PNG, GIF natively; JPEG from Tk 8.6 onwards. To use `pdf4tcl` with images, `package require Tk` is mandatory (the Tk runtime is needed even when no window is displayed). Photo images consume memory and must be released with `image delete` after use.","Tks In-Memory-Bilddatentyp, erzeugt mit `image create photo`. Das native Bild-Format, das `pdf4tcl`s `$pdf image`-Befehl konsumiert. Unterstuetzt PNG, GIF nativ; JPEG ab Tk 8.6. Um `pdf4tcl` mit Bildern zu nutzen, ist `package require Tk` Pflicht (die Tk-Runtime wird gebraucht, auch wenn kein Fenster angezeigt wird). Photo Images verbrauchen Speicher und muessen nach Gebrauch mit `image delete` freigegeben werden.",,,,
WinAnsi,PDF in Tcl / PDF in Tcl,"The character encoding used by the 14 standard PDF fonts (Helvetica, Times, Courier, Symbol, ZapfDingbats). Largely identical to Windows-1252 / CP1252: covers Latin-1 plus a few extras (euro sign, smart quotes). Characters outside WinAnsi (Cyrillic, Greek beyond Symbol, CJK) cannot be rendered by the standard fonts — those need embedded TrueType fonts or a CID-Font.","Die Zeichen-Kodierung der 14 Standard-PDF-Fonts (Helvetica, Times, Courier, Symbol, ZapfDingbats). Weitgehend identisch mit Windows-1252 / CP1252: deckt Latin-1 plus ein paar Extras (Euro-Zeichen, typografische Anfuehrungszeichen) ab. Zeichen ausserhalb von WinAnsi (Kyrillisch, Griechisch jenseits von Symbol, CJK) koennen von den Standard-Fonts nicht dargestellt werden — dafuer braucht es eingebettete TrueType-Fonts oder eine CID-Font.",,,,
